feature_index,importance
111,0.0019470223
272,0.0019330219
294,0.0019300808
129,0.0019276433
83,0.0019216689
293,0.0019184712
267,0.0019007223
212,0.0018880339
148,0.0018878384
112,0.0018809128
255,0.0018767121
312,0.0018738192
109,0.001872596
170,0.0018646761
130,0.0018576366
151,0.0018566502
110,0.0018391071
191,0.001826376
291,0.0018215994
349,0.0018118164
211,0.0018114406
271,0.0017922599
314,0.0017890076
169,0.0017837822
23,0.0017342654
149,0.0017160403
171,0.0017124795
292,0.0017066624
269,0.0016843204
302,0.0016842574
372,0.0016803858
48,0.0016768539
250,0.0016704521
311,0.0016354035
370,0.0016269879
221,0.0016232961
160,0.0016206882
61,0.001614029
395,0.0016126357
374,0.0016101946
380,0.0016068766
391,0.0016043236
182,0.001598489
141,0.0015853139
371,0.0015852478
20,0.0015850111
49,0.0015824324
338,0.0015823354
17,0.001575578
403,0.001570429
162,0.0015681012
262,0.001567448
140,0.0015588122
45,0.0015570804
198,0.0015566456
399,0.0015534937
52,0.0015513197
55,0.0015481429
373,0.0015461324
77,0.0015316645
365,0.001530564
394,0.0015207371
379,0.0015188444
15,0.0015166927
368,0.0015158046
63,0.0015140511
30,0.0015081603
282,0.001502112
5,0.0015000685
41,0.0015000089
322,0.0014999055
342,0.0014997162
142,0.0014988938
366,0.0014976029
299,0.0014974996
401,0.0014969448
363,0.0014968375
102,0.0014966814
218,0.0014960482
242,0.0014891762
388,0.0014873578
377,0.0014866765
258,0.0014798463
80,0.0014783334
24,0.0014774645
278,0.0014719508
46,0.0014705188
18,0.0014688368
33,0.0014678808
384,0.0014675551
7,0.0014644747
358,0.001459313
397,0.0014592682
51,0.0014577187
181,0.0014573156
58,0.0014562185
392,0.0014522802
200,0.0014483675
220,0.0014457023
369,0.0014438943
56,0.0014435971
407,0.00144201
14,0.0014417437
381,0.0014382227
82,0.0014339455
239,0.0014323463
402,0.001431979
3,0.0014308658
11,0.0014277267
26,0.001419367
120,0.0014157167
1,0.0014138562
340,0.0014090483
159,0.0014078706
364,0.0014070232
4,0.0014064559
44,0.0014063935
382,0.0013984463
2,0.0013977503
318,0.0013965718
361,0.0013946127
359,0.0013920126
396,0.0013901405
409,0.001389591
222,0.0013835984
78,0.0013827005
298,0.0013821542
8,0.0013816425
180,0.0013812586
301,0.0013782001
39,0.0013776486
53,0.0013766722
383,0.0013759161
320,0.0013754052
300,0.001374696
241,0.0013744006
28,0.0013705216
406,0.0013704482
27,0.0013681793
386,0.0013674309
238,0.0013670468
29,0.0013668023
16,0.0013638821
178,0.001363619
54,0.001362027
25,0.001361768
158,0.0013570494
32,0.001356577
362,0.0013543275
60,0.0013498514
404,0.0013483373
100,0.0013470823
0,0.0013467717
38,0.001345534
161,0.0013447264
260,0.0013433001
43,0.0013430868
6,0.0013399697
385,0.0013353367
259,0.0013329769
387,0.0013321729
202,0.0013299782
179,0.0013288117
405,0.0013246259
50,0.0013211044
21,0.0013204343
35,0.0013190067
378,0.0013186513
34,0.0013183901
12,0.0013130209
400,0.0013110299
57,0.0013070549
121,0.001306713
22,0.001305263
281,0.0013041203
10,0.0013002965
389,0.0012991992
261,0.0012971847
59,0.0012898017
398,0.0012896219
341,0.0012852872
42,0.001284748
62,0.0012822592
319,0.0012791174
118,0.0012770018
40,0.0012734124
393,0.0012622857
321,0.0012615717
99,0.0012543252
138,0.0012535971
240,0.0012487652
139,0.0012467031
280,0.0012448119
201,0.0012387112
122,0.0012383127
19,0.0012351169
390,0.0012273223
47,0.0012257984
98,0.0012235028
408,0.001220704
13,0.0012177497
37,0.0012169039
101,0.0012147387
81,0.001213531
31,0.0012072221
219,0.0012005549
279,0.0012001449
339,0.0011876656
119,0.0011761049
36,0.0011494682
367,0.001141429
410,0.001130657
9,0.0011275249
360,0.0011000233
79,0.0010838648
199,0.0010045811
